away_team,awaypoints,home_team,homepoints
The Sophomores TSoph,125.96,The G.O.A.T.,80.32
Southern Sharks,90.82,Athens Team Sasquatch,121.36
Georgia Peanuts,102.62,Jumpin' Jaheims,78.9
KC Gophers,81.2,Pigskin on  the Gridiron,108.56
Middle Earth Hangry Hobbits,102.45,Captain Clairvoyant,92.6
