fullname,points
Captain Clairvoyant,52
The G.O.A.T.,62.36
Middle Earth Hangry Hobbits,86.72000000000001
KC Gophers,49.34
Jumpin' Jaheims,76.15
Georgia Peanuts,76.79
Pigskin on  the Gridiron,93.82000000000001
Athens Team Sasquatch,77.37
Southern Sharks,67.52000000000001
The Sophomores TSoph,85.64
