fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Georgia Peanuts,Hot Dish,12,5,1969.83,1692.93,1,1
Athens Team Sasquatch,Grits,11,6,1934.03,1860.7,2,2
The Sophomores TSoph,Hot Dish,11,6,1919.34,1816.22,4,3
Pigskin on  the Gridiron,Grits,11,6,1906.8700000000001,1735.56,5,4
Captain Clairvoyant,Grits,10,7,1924.98,1749.62,3,5
Jumpin' Jaheims,Grits,9,8,1790.55,1872.07,8,6
Southern Sharks,Hot Dish,7,10,1889.3,1893.59,6,7
Middle Earth Hangry Hobbits,Hot Dish,7,10,1821.98,1842.34,7,8
The G.O.A.T.,Grits,5,12,1525.78,1811.45,9,9
KC Gophers,Hot Dish,2,15,1405.86,1814.04,10,10
