fullname,points
Captain Clairvoyant,32.04
The G.O.A.T.,32.660000000000004
Middle Earth Hangry Hobbits,79.58
KC Gophers,33.64
Jumpin' Jaheims,68.14
Georgia Peanuts,22.300000000000004
Pigskin on  the Gridiron,70.8
Athens Team Sasquatch,56.56
Southern Sharks,109.76
The Sophomores TSoph,61.7
