add_date,name,points,slot,bench,teamId1,abbrev,teamId,location,nickname,owners,fullname,division,stay
2021-10-27,Cole Beasley,16,4,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-10-27,Samaje Perine,2.6,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-10-27,Cole Kmet,3.9000000000000004,6,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-10-27,Greg Joseph,12,17,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-10-27,Marquez Valdes-Scantling,0,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-10-28,Randall Cobb,15,4,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,5
2021-10-28,Mason Crosby,6,17,0,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish,5
2021-10-27,Bengals D/ST,1,16,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,6
2021-10-28,Greg Zuerlein,7,17,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,5
2021-10-31,Michael Carter,27.7,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,2
2021-10-28,Christian Kirk,6.6000000000000005,4,0,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits,5
2021-10-31,Teddy Bridgewater,12.62,0,0,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits,2
2021-10-27,Bears D/ST,-6,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-10-27,Zach Ertz,6.2,6,0,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits,6
2021-10-27,Sterling Shepard,4.5,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits,6
