fullname,week,points_scored,result
KC Gophers,1,149.28,W
Captain Clairvoyant,1,137.26,W
Southern Sharks,1,135.76,L
Jumpin' Jaheims,1,134.36,W
Athens Team Sasquatch,1,128.56,L
