away_team,awaypoints,home_team,homepoints
KC Gophers,105.78,The G.O.A.T.,80.4
Middle Earth Hangry Hobbits,121.74,Athens Team Sasquatch,142.92
The Sophomores TSoph,131.1,Jumpin' Jaheims,110.57
Southern Sharks,128.6,Pigskin on  the Gridiron,95.38
Georgia Peanuts,100.05,Captain Clairvoyant,124.38
