away_team,awaypoints,home_team,homepoints
Athens Team Sasquatch,132.49,Georgia Peanuts,84.05
Southern Sharks,126.52,KC Gophers,66.74
Jumpin' Jaheims,57,The G.O.A.T.,118.04
The Sophomores TSoph,81.44,Middle Earth Hangry Hobbits,72.72
Pigskin on  the Gridiron,101.04,Captain Clairvoyant,109.4
