add_date,name,points,slot,bench,teamId1,abbrev,teamId,location,nickname,owners,fullname,division,stay
2021-12-29,Saints D/ST,17,16,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-12-29,Davis Mills,8.92,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-12-29,Bears D/ST,21,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-12-31,Odell Beckham Jr.,12.4,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,4
2021-12-31,Mason Crosby,13,17,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,4
2021-12-29,Dare Ogunbowale,13.8,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,6
2021-12-29,Boston Scott,22.6,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,6
2021-12-29,Matt Gay,1,17,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,6
2021-12-31,Tua Tagovailoa,4.299999999999999,20,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,4
2022-01-01,Foster Moreau,1.4,6,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,3
