away_team,awaypoints,home_team,homepoints
Georgia Peanuts,161.7,The G.O.A.T.,81.74
KC Gophers,57.82,Athens Team Sasquatch,124.72
Middle Earth Hangry Hobbits,115.28,Jumpin' Jaheims,153.5
The Sophomores TSoph,95.64,Pigskin on  the Gridiron,140.62
Southern Sharks,111.34,Captain Clairvoyant,105.02
