add_date,name,points,slot,bench,teamId,abbrev,id,location,nickname,owners,fullname,division,stay
2021-09-08,Dolphins D/ST,4,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-09-09,Ty'Son Williams,16.9,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits,5
2021-09-09,Le'Veon Bell,0,20,1,10,JAH,12,Jumpin',Jaheims,NA,Jumpin' Jaheims,Grits,5
