fullname,points
Captain Clairvoyant,55.4
The G.O.A.T.,37.660000000000004
Middle Earth Hangry Hobbits,68.96000000000001
KC Gophers,57.300000000000004
Jumpin' Jaheims,61.14
Georgia Peanuts,44.6
Pigskin on  the Gridiron,51.580000000000005
Athens Team Sasquatch,62.92
Southern Sharks,112.42
The Sophomores TSoph,50.64
