week,game,away_team,away_points,home_team,home_points,range
8,1,The Sophomores TSoph,381.02,The G.O.A.T.,259.22,121.79999999999995
8,2,Southern Sharks,387.15999999999997,Athens Team Sasquatch,419.65,32.49000000000001
8,3,Georgia Peanuts,367.90999999999997,Jumpin' Jaheims,322.95,44.95999999999998
8,4,KC Gophers,285,Pigskin on  the Gridiron,322.6,37.60000000000002
8,5,Middle Earth Hangry Hobbits,358.6,Captain Clairvoyant,389.96,31.359999999999957
