add_date,name,points,slot,bench,teamId1,abbrev,teamId,location,nickname,owners,fullname,division
2021-09-07,Davante Adams,25.200000000000003,4,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,Nick Chubb,8.4,2,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,Allen Robinson II,3.7,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,Clyde Edwards-Helaire,15.9,2,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,Mark Andrews,13.4,6,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,Justin Herbert,30.840000000000003,0,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,Kareem Hunt,24.5,23,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,Kenny Golladay,8.4,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,Rams D/ST,0,16,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,DJ Chark Jr.,12.4,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,Darnell Mooney,1.4,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,Greg Zuerlein,5,17,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-15,Elijah Mitchell,0,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-22,Sterling Shepard,2.6,4,0,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-22,Michael Carter,3.9000000000000004,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-24,Justin Fields,3.9200000000000004,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish
2021-09-07,Derrick Henry,17.900000000000002,2,0,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,DK Metcalf,19.700000000000003,4,0,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,George Kittle,13.600000000000001,6,0,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Lamar Jackson,19.28,0,0,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Diontae Johnson,0,20,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Chase Edmonds,11,2,0,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Matthew Stafford,29.520000000000003,20,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Noah Fant,2.5,20,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Washington D/ST,-8,20,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Jarvis Landry,0,21,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Melvin Gordon III,14.700000000000001,23,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Graham Gano,6,17,0,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Jakobi Meyers,13.9,4,0,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Zack Moss,16.6,20,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Daniel Jones,16.54,20,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Gabriel Davis,2.8000000000000003,20,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-22,Panthers D/ST,10,16,0,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish
2021-09-07,Ezekiel Elliott,25.1,2,0,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
2021-09-07,Tyreek Hill,7.200000000000001,4,0,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
2021-09-07,Joe Mixon,9.9,2,0,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
2021-09-07,Robert Woods,5.300000000000001,4,0,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
2021-09-07,Chris Godwin,16.6,23,1,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
2021-09-07,Aaron Rodgers,18.54,0,0,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
2021-09-07,Mike Davis,9,20,1,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
2021-09-07,Jerry Jeudy,0,20,1,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
2021-09-07,Buccaneers D/ST,-3,16,0,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
2021-09-07,Justin Tucker,16,17,0,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
2021-09-07,Dallas Goedert,7.6000000000000005,6,0,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish
