away_team,awaypoints,home_team,homepoints
Georgia Peanuts,132.94,The Sophomores TSoph,96.78
Pigskin on  the Gridiron,91.74,Athens Team Sasquatch,118.26
Jumpin' Jaheims,63.7,Captain Clairvoyant,105.18
Southern Sharks,121.96,Middle Earth Hangry Hobbits,75.68
KC Gophers,48.42,The G.O.A.T.,65.7
