fullname,points
Captain Clairvoyant,58.760000000000005
The G.O.A.T.,71.12
Middle Earth Hangry Hobbits,37.9
KC Gophers,43.7
Jumpin' Jaheims,43.8
Georgia Peanuts,73.54
Pigskin on  the Gridiron,57.440000000000005
Athens Team Sasquatch,56.88
Southern Sharks,93.12
The Sophomores TSoph,49.34
