fullname,week,points_scored,result
Georgia Peanuts,14,161.7,W
Georgia Peanuts,5,158.97,W
The Sophomores TSoph,4,158.62,W
Middle Earth Hangry Hobbits,13,155.27,W
Jumpin' Jaheims,14,153.5,W
