fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Pigskin on  the Gridiron,Grits,4,1,615.94,562.35,1,1
The Sophomores TSoph,Hot Dish,4,1,614.54,545.53,2,2
Georgia Peanuts,Hot Dish,4,1,559.39,519.35,7,3
Captain Clairvoyant,Grits,3,2,568.68,573.9399999999999,5,4
Jumpin' Jaheims,Grits,3,2,561.28,546.83,6,5
Athens Team Sasquatch,Grits,2,3,609.38,627.4,3,6
Middle Earth Hangry Hobbits,Hot Dish,2,3,605.54,556.98,4,7
Southern Sharks,Hot Dish,1,4,554.1999999999999,651.56,8,8
KC Gophers,Hot Dish,1,4,521.1,583.34,9,9
The G.O.A.T.,Grits,1,4,498.82,541.59,10,10
