fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
The Sophomores TSoph,Hot Dish,9,2,1337.94,1186.04,1,1
Captain Clairvoyant,Grits,8,3,1275.58,1138.67,3,2
Athens Team Sasquatch,Grits,7,4,1287,1246.59,2,3
Pigskin on  the Gridiron,Grits,6,5,1235.21,1194.73,5,4
Georgia Peanuts,Hot Dish,6,5,1215.92,1175.78,6,5
Middle Earth Hangry Hobbits,Hot Dish,5,6,1198.08,1169.19,7,6
Jumpin' Jaheims,Grits,5,6,1138.25,1232.06,8,7
Southern Sharks,Hot Dish,4,7,1250.44,1264.64,4,8
The G.O.A.T.,Grits,3,8,1035.4,1148.35,9,9
KC Gophers,Hot Dish,2,9,1005.1,1222.87,10,10
