away_team,awaypoints,home_team,homepoints
Jumpin' Jaheims,106.72,KC Gophers,75.6
Middle Earth Hangry Hobbits,85.98,Georgia Peanuts,147.63
Athens Team Sasquatch,81.21,Pigskin on  the Gridiron,78.92
The Sophomores TSoph,152.5,Southern Sharks,135.68
The G.O.A.T.,101.04,Captain Clairvoyant,136.38
