fullname,points
Captain Clairvoyant,16.2
The G.O.A.T.,52.56
Middle Earth Hangry Hobbits,47.980000000000004
KC Gophers,80.8
Jumpin' Jaheims,61.440000000000005
Georgia Peanuts,49.32
Pigskin on  the Gridiron,72.42
Athens Team Sasquatch,94.32000000000001
Southern Sharks,68.37
The Sophomores TSoph,35.42
