fullname,points
Captain Clairvoyant,42.3
The G.O.A.T.,22.200000000000003
Middle Earth Hangry Hobbits,53.7
KC Gophers,62.38
Jumpin' Jaheims,87.06
Georgia Peanuts,75.5
Pigskin on  the Gridiron,57.6
Athens Team Sasquatch,162.35
Southern Sharks,93.48
The Sophomores TSoph,49.14
