fullname,points
Captain Clairvoyant,51.92
The G.O.A.T.,67.92
Middle Earth Hangry Hobbits,87.48
KC Gophers,78.34
Jumpin' Jaheims,68.39999999999999
Georgia Peanuts,49.32000000000001
Pigskin on  the Gridiron,102.58
Athens Team Sasquatch,72.26
Southern Sharks,85.45
The Sophomores TSoph,86.98
