away_team,awaypoints,home_team,homepoints
Georgia Peanuts,157.48,Athens Team Sasquatch,76.75
Pigskin on  the Gridiron,84.34,The Sophomores TSoph,79.12
Southern Sharks,127.86,Captain Clairvoyant,107.48
The G.O.A.T.,92.74,Jumpin' Jaheims,129.78
KC Gophers,59.66,Middle Earth Hangry Hobbits,110.11
