away_team,awaypoints,home_team,homepoints
Jumpin' Jaheims,140.78,Middle Earth Hangry Hobbits,126.08
The Sophomores TSoph,103.24,KC Gophers,80.6
Pigskin on  the Gridiron,125.52,Athens Team Sasquatch,91.59
Southern Sharks,75.74,Georgia Peanuts,125.84
Captain Clairvoyant,120.68,The G.O.A.T.,91.72
