away_team,awaypoints,home_team,homepoints
Pigskin on  the Gridiron,123.88,Middle Earth Hangry Hobbits,91.35
KC Gophers,92.1,The Sophomores TSoph,105.38
Captain Clairvoyant,101.74,Jumpin' Jaheims,107.7
Georgia Peanuts,84.42,Southern Sharks,70.86
The G.O.A.T.,96.3,Athens Team Sasquatch,128.6
