fullname,week,points_scored,result
The Sophomores TSoph,4,158.62,W
The G.O.A.T.,4,149.52,W
KC Gophers,1,149.28,W
Pigskin on  the Gridiron,2,144.32,W
Jumpin' Jaheims,3,141.78,W
