week,game,away_team,away_points,home_team,home_points,range
6,1,KC Gophers,268.4,The G.O.A.T.,339.72,71.32000000000005
6,2,Middle Earth Hangry Hobbits,371.58,Athens Team Sasquatch,364.26,7.319999999999993
6,3,The Sophomores TSoph,394.02,Jumpin' Jaheims,347.78,46.24000000000001
6,4,Southern Sharks,311.64,Pigskin on  the Gridiron,337.26,25.620000000000005
6,5,Georgia Peanuts,388.49,Captain Clairvoyant,321.68,66.81
