fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
The Sophomores TSoph,Hot Dish,5,1,745.64,656.1,2,1
Pigskin on  the Gridiron,Grits,4,2,711.32,690.95,4,2
Captain Clairvoyant,Grits,4,2,693.06,673.99,5,3
Georgia Peanuts,Hot Dish,4,2,659.44,643.73,8,4
Athens Team Sasquatch,Grits,3,3,752.3,749.14,1,5
Jumpin' Jaheims,Grits,3,3,671.85,677.9300000000001,7,6
Middle Earth Hangry Hobbits,Hot Dish,2,4,727.28,699.9,3,7
Southern Sharks,Hot Dish,2,4,682.8,746.94,6,8
KC Gophers,Hot Dish,2,4,626.88,663.74,9,9
The G.O.A.T.,Grits,1,5,579.22,647.37,10,10
