away_team,awaypoints,home_team,homepoints
The G.O.A.T.,76.07,Georgia Peanuts,81.28
KC Gophers,149.28,Southern Sharks,135.76
Athens Team Sasquatch,128.56,Captain Clairvoyant,137.26
Middle Earth Hangry Hobbits,92.6,The Sophomores TSoph,111.92
Pigskin on  the Gridiron,103.92,Jumpin' Jaheims,134.36
